pde,seed,run_dir,rel_l2_test,heldout_residual_mse,ic_max_abs,bc_max_abs,final_time_rel_l2,min_pred,max_pred,frac_negative,neg_part_l2,max_lower_violation,max_upper_violation,mean_barrier_violation,min_over_x_vs_t_min,train_seconds,epochs
parabolic,0,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/parabolic_runs/parabolic_ndata0_seed0,0.0006702633170679298,4.7098939830902964e-05,2.2611672398364924e-07,8.742277657347586e-08,0.0020094683520663027,-8.742277657347586e-08,1.0,0.004149377593360996,3.7056524515577394e-09,2.2611672398364924e-07,1.1585084502829801e-07,4.519421913969876e-10,-8.742277657347586e-08,320.3731482028961,5000
parabolic,1,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/parabolic_runs/parabolic_ndata0_seed1,1.7590589581725404e-06,4.648704532428383e-09,2.2611672398364924e-07,8.742277657347586e-08,2.171989690433128e-06,-8.742277657347586e-08,1.0,0.004149377593360996,3.7056524515577394e-09,2.2611672398364924e-07,1.1585084502829801e-07,4.519421913969876e-10,-8.742277657347586e-08,325.1564610004425,5000
parabolic,2,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/parabolic_runs/parabolic_ndata0_seed2,2.8330766314952403e-06,6.558199316941682e-09,2.2611672398364924e-07,8.742277657347586e-08,9.165914033460869e-06,-8.742277657347586e-08,1.0,0.004149377593360996,3.7056524515577394e-09,2.2611672398364924e-07,1.1585084502829801e-07,4.519421913969876e-10,-8.742277657347586e-08,303.441486120224,5000
parabolic,3,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/parabolic_runs/parabolic_ndata0_seed3,0.00017941811142158787,2.3770293410052545e-05,2.2611672398364924e-07,8.742277657347586e-08,0.00039189194635633895,-8.742277657347586e-08,1.0,0.004149377593360996,3.7056524515577394e-09,2.2611672398364924e-07,1.1585084502829801e-07,4.519421913969876e-10,-8.742277657347586e-08,292.85630202293396,5000
parabolic,4,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/parabolic_runs/parabolic_ndata0_seed4,1.141899879826444e-05,3.965983808029705e-08,2.2611672398364924e-07,8.742277657347586e-08,2.746202882661421e-05,-8.742277657347586e-08,1.0,0.004149377593360996,3.7056524515577394e-09,2.2611672398364924e-07,1.1585084502829801e-07,4.519421913969876e-10,-8.742277657347586e-08,263.1812620162964,5000
