pde,seed,run_dir,rel_l2_test,heldout_residual_mse,heldout_entropy_violation,rel_l1_test,final_time_rel_l1,final_time_rel_l2,ic_max_abs,shock_location_error_final,shock_width_final,overshoot,undershoot,mean_entropy_violation_eval,max_entropy_violation_eval,min_pred,max_pred,train_seconds,epochs
hyperbolic,0,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/hyperbolic_runs/hyperbolic_entropy_pinn_ndata0_seed0,0.17153802452574896,0.22801756858825684,0.03572070971131325,0.15729654886467073,0.07036673126925316,0.08955903326655641,0.9927396178245544,0.0024999999999999467,2.145,0.0,0.005079947412014008,0.05837268754839897,7.880413055419922,-0.005079947412014008,1.948952078819275,436.7004029750824,6000
hyperbolic,1,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/hyperbolic_runs/hyperbolic_entropy_pinn_ndata0_seed1,0.18172298669269754,0.21392107009887695,0.05203495919704437,0.17004978727662617,0.12235602310915752,0.1532993800205315,0.8962053060531616,0.040000000000000036,2.1525,0.0,0.03496389091014862,0.059500038623809814,9.148548126220703,-0.03496389091014862,1.9622011184692383,435.61324095726013,6000
hyperbolic,2,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/hyperbolic_runs/hyperbolic_entropy_pinn_ndata0_seed2,0.18347155867722803,0.2193491905927658,0.041671041399240494,0.17949309333248212,0.13130587693782295,0.14098602356244452,0.9245131015777588,0.0024999999999999467,2.1525,0.0,0.006488174200057983,0.0717896819114685,8.373281478881836,-0.006488174200057983,1.9456855058670044,376.3044831752777,6000
hyperbolic,3,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/hyperbolic_runs/hyperbolic_entropy_pinn_ndata0_seed3,0.18403651116731717,0.21983836591243744,0.042575933039188385,0.1839000563144405,0.12861154487953813,0.13612450555309388,1.030138373374939,0.012500000000000178,2.1525,0.0,0.01587624102830887,0.053816940635442734,6.444462776184082,-0.01587624102830887,1.9313089847564697,371.993684053421,6000
hyperbolic,4,/Users/zaneperry/Desktop/Classes/Spring 2026/PDEs/Project/Code/stats_analysis_outputs/hyperbolic_runs/hyperbolic_entropy_pinn_ndata0_seed4,0.16239237472895338,0.2719910740852356,0.03360360115766525,0.1368460211707415,0.07279554101517921,0.09681705806306745,0.916832447052002,0.01750000000000007,2.1,0.013570308685302734,0.04359313100576401,0.05110255628824234,6.982212066650391,-0.04359313100576401,2.0135703086853027,376.2576332092285,6000
